imagem,esperado,predito,correto,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (10).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (11).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (12).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (13).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (14).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (15).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (16).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (17).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (18).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (19).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (2).JPG,True,False,False,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (20).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (21).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (22).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (23).JPG,True,False,False,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (24).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (25).JPG,True,False,False,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (26).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (27).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (28).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (29).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (3).JPG,True,False,False,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (30).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (31).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (32).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (33).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (34).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (35).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (36).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (37).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (38).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (39).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (4).JPG,True,False,False,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (40).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (41).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (42).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (43).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (44).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (45).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (46).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (47).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (48).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (49).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (5).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (6).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (7).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (8).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (9).JPG,True,True,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (1).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (10).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (11).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (12).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (13).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (14).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (15).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (16).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (17).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (18).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (19).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (2).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (20).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (21).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (22).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (23).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (24).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (25).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (26).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (27).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (28).JPG,False,True,False,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (29).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (3).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (30).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (31).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (4).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (5).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (6).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (7).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (8).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
sem lixo (9).JPG,False,False,True,2795,5,2800,0.000559,6.25e-06,0.00056525
