imagem,esperado,predito,correto,tempo,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,9.200673100000131,2795,171,2966,0.0006987499999999999,0.00034199999999999996,0.00104075
com lixo (10).JPG,True,True,True,3.2289436000028218,2795,131,2926,0.0006987499999999999,0.00026199999999999997,0.0009607499999999999
com lixo (11).JPG,True,True,True,4.011395099998481,2795,163,2958,0.0006987499999999999,0.000326,0.00102475
com lixo (12).JPG,True,True,True,4.296800199997961,2795,104,2899,0.0006987499999999999,0.000208,0.0009067499999999999
com lixo (13).JPG,True,True,True,3.7754404000006616,2795,127,2922,0.0006987499999999999,0.000254,0.0009527499999999999
com lixo (14).JPG,True,True,True,4.254983400001947,2795,118,2913,0.0006987499999999999,0.000236,0.0009347499999999999
com lixo (15).JPG,True,True,True,9.760214099998848,2795,105,2900,0.0006987499999999999,0.00020999999999999998,0.0009087499999999999
com lixo (16).JPG,True,True,True,3.493719499998406,2795,123,2918,0.0006987499999999999,0.00024599999999999996,0.0009447499999999998
com lixo (17).JPG,True,True,True,2.835265999998228,2795,107,2902,0.0006987499999999999,0.000214,0.0009127499999999999
com lixo (18).JPG,True,True,True,3.574045400000614,2795,128,2923,0.0006987499999999999,0.000256,0.0009547499999999999
com lixo (19).JPG,True,True,True,11.90842700000212,2795,119,2914,0.0006987499999999999,0.00023799999999999998,0.0009367499999999999
com lixo (2).JPG,True,True,True,12.867632499997853,2795,299,3094,0.0006987499999999999,0.000598,0.00129675
com lixo (20).JPG,True,True,True,3.3971480000000156,2795,137,2932,0.0006987499999999999,0.000274,0.0009727499999999999
com lixo (21).JPG,True,True,True,3.3756099000020185,2795,152,2947,0.0006987499999999999,0.00030399999999999996,0.00100275
com lixo (22).JPG,True,True,True,3.3012634000006074,2795,118,2913,0.0006987499999999999,0.000236,0.0009347499999999999
com lixo (23).JPG,True,True,True,5.03795750000063,2795,160,2955,0.0006987499999999999,0.00031999999999999997,0.00101875
com lixo (24).JPG,True,False,False,4.387972299999092,2795,225,3020,0.0006987499999999999,0.00045,0.00114875
com lixo (25).JPG,True,True,True,4.160779400001047,2795,216,3011,0.0006987499999999999,0.000432,0.0011307499999999998
com lixo (26).JPG,True,True,True,3.0702145000032033,2795,102,2897,0.0006987499999999999,0.000204,0.0009027499999999999
com lixo (27).JPG,True,True,True,3.2483008000017435,2795,124,2919,0.0006987499999999999,0.000248,0.0009467499999999999
com lixo (28).JPG,True,True,True,3.852190600002359,2795,165,2960,0.0006987499999999999,0.00033,0.00102875
com lixo (29).JPG,True,False,False,3.3590184999993653,2795,124,2919,0.0006987499999999999,0.000248,0.0009467499999999999
com lixo (3).JPG,True,False,False,8.485801400001947,2795,401,3196,0.0006987499999999999,0.000802,0.00150075
com lixo (30).JPG,True,True,True,3.380677100001776,2795,110,2905,0.0006987499999999999,0.00021999999999999998,0.0009187499999999999
com lixo (31).JPG,True,True,True,4.915666000000783,2795,118,2913,0.0006987499999999999,0.000236,0.0009347499999999999
com lixo (32).JPG,True,True,True,3.084079700001894,2795,123,2918,0.0006987499999999999,0.00024599999999999996,0.0009447499999999998
com lixo (33).JPG,True,True,True,3.214891499999794,2795,128,2923,0.0006987499999999999,0.000256,0.0009547499999999999
com lixo (34).JPG,True,True,True,3.993292200000724,2795,131,2926,0.0006987499999999999,0.00026199999999999997,0.0009607499999999999
com lixo (35).JPG,True,True,True,3.20045250000112,2795,128,2923,0.0006987499999999999,0.000256,0.0009547499999999999
com lixo (36).JPG,True,True,True,3.061806300000171,2795,111,2906,0.0006987499999999999,0.000222,0.0009207499999999999
com lixo (37).JPG,True,True,True,3.421892400001525,2795,151,2946,0.0006987499999999999,0.00030199999999999997,0.00100075
com lixo (38).JPG,True,True,True,2.854432000000088,2795,81,2876,0.0006987499999999999,0.00016199999999999998,0.00086075
com lixo (39).JPG,True,True,True,3.0515877999969234,2795,109,2904,0.0006987499999999999,0.00021799999999999999,0.0009167499999999999
com lixo (4).JPG,True,True,True,5.086908299999777,2795,228,3023,0.0006987499999999999,0.00045599999999999997,0.00115475
com lixo (40).JPG,True,True,True,3.00352859999839,2795,79,2874,0.0006987499999999999,0.000158,0.0008567499999999999
com lixo (41).JPG,True,True,True,3.547857199999271,2795,104,2899,0.0006987499999999999,0.000208,0.0009067499999999999
com lixo (42).JPG,True,True,True,3.388359799999307,2795,132,2927,0.0006987499999999999,0.00026399999999999997,0.0009627499999999998
com lixo (43).JPG,True,True,True,3.180570999997144,2795,119,2914,0.0006987499999999999,0.00023799999999999998,0.0009367499999999999
com lixo (44).JPG,True,True,True,3.577229000002262,2795,162,2957,0.0006987499999999999,0.00032399999999999996,0.0010227499999999998
com lixo (45).JPG,True,True,True,3.5968549999997776,2795,131,2926,0.0006987499999999999,0.00026199999999999997,0.0009607499999999999
com lixo (46).JPG,True,True,True,3.4085855999983323,2795,135,2930,0.0006987499999999999,0.00027,0.00096875
com lixo (47).JPG,True,True,True,3.2232364999981655,2795,108,2903,0.0006987499999999999,0.000216,0.00091475
com lixo (48).JPG,True,True,True,3.1369467999975313,2795,108,2903,0.0006987499999999999,0.000216,0.00091475
com lixo (49).JPG,True,True,True,3.258635800000775,2795,111,2906,0.0006987499999999999,0.000222,0.0009207499999999999
com lixo (5).JPG,True,True,True,3.1466400000026624,2795,121,2916,0.0006987499999999999,0.000242,0.00094075
com lixo (6).JPG,True,True,True,3.1469270999987202,2795,133,2928,0.0006987499999999999,0.000266,0.0009647499999999999
com lixo (7).JPG,True,True,True,2.948708899999474,2795,102,2897,0.0006987499999999999,0.000204,0.0009027499999999999
com lixo (8).JPG,True,True,True,4.138741499999014,2795,112,2907,0.0006987499999999999,0.000224,0.00092275
com lixo (9).JPG,True,True,True,4.169193099998665,2795,167,2962,0.0006987499999999999,0.000334,0.0010327499999999998
sem lixo (1).JPG,False,False,True,7.526651300002413,2795,148,2943,0.0006987499999999999,0.000296,0.00099475
sem lixo (10).JPG,False,False,True,3.803616500001226,2795,134,2929,0.0006987499999999999,0.000268,0.0009667499999999999
sem lixo (11).JPG,False,False,True,3.460276400001021,2795,132,2927,0.0006987499999999999,0.00026399999999999997,0.0009627499999999998
sem lixo (12).JPG,False,False,True,3.486459300002025,2795,133,2928,0.0006987499999999999,0.000266,0.0009647499999999999
sem lixo (13).JPG,False,False,True,4.41689789999873,2795,218,3013,0.0006987499999999999,0.00043599999999999997,0.00113475
sem lixo (14).JPG,False,False,True,4.016647500000545,2795,186,2981,0.0006987499999999999,0.000372,0.0010707499999999999
sem lixo (15).JPG,False,False,True,3.5388758999979473,2795,127,2922,0.0006987499999999999,0.000254,0.0009527499999999999
sem lixo (16).JPG,False,False,True,4.702359999999317,2795,214,3009,0.0006987499999999999,0.000428,0.00112675
sem lixo (17).JPG,False,False,True,3.7259938000024704,2795,182,2977,0.0006987499999999999,0.00036399999999999996,0.00106275
sem lixo (18).JPG,False,False,True,4.081666699999914,2795,152,2947,0.0006987499999999999,0.00030399999999999996,0.00100275
sem lixo (19).JPG,False,False,True,5.839782299997751,2795,220,3015,0.0006987499999999999,0.00043999999999999996,0.00113875
sem lixo (2).JPG,False,False,True,3.268244200000481,2795,137,2932,0.0006987499999999999,0.000274,0.0009727499999999999
sem lixo (20).JPG,False,False,True,4.557974199997261,2795,174,2969,0.0006987499999999999,0.000348,0.00104675
sem lixo (21).JPG,False,False,True,5.998779600002308,2795,248,3043,0.0006987499999999999,0.000496,0.00119475
sem lixo (22).JPG,False,True,False,4.926786199997878,2795,224,3019,0.0006987499999999999,0.000448,0.00114675
sem lixo (23).JPG,False,False,True,5.183075799999642,2795,245,3040,0.0006987499999999999,0.00049,0.00118875
sem lixo (24).JPG,False,False,True,4.22153999999864,2795,147,2942,0.0006987499999999999,0.000294,0.00099275
sem lixo (25).JPG,False,False,True,12.912695399998483,2795,118,2913,0.0006987499999999999,0.000236,0.0009347499999999999
