imagem,esperado,predito,correto,tempo,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,7.500568499999645,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (10).JPG,True,True,True,1.901697299996158,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (11).JPG,True,True,True,4.52660620000097,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (12).JPG,True,True,True,2.342071599996416,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (13).JPG,True,True,True,1.9560243000014452,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (14).JPG,True,True,True,2.0195272999990266,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (15).JPG,True,True,True,2.018728800001554,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (16).JPG,True,True,True,2.458910900000774,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (17).JPG,True,True,True,1.9589057999983197,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (18).JPG,True,True,True,2.3708170000027167,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (19).JPG,True,True,True,2.103791999994428,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (2).JPG,True,False,False,14.72111670000595,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (20).JPG,True,True,True,2.409486399999878,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (21).JPG,True,True,True,3.993680100000347,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (22).JPG,True,True,True,2.1242070000007516,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (23).JPG,True,True,True,8.60443849999865,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (24).JPG,True,False,False,2.669048499999917,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (25).JPG,True,False,False,2.3277703000057954,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (26).JPG,True,True,True,1.9381992999988142,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (27).JPG,True,True,True,2.6837270999967586,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (28).JPG,True,True,True,2.2846705999982078,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (29).JPG,True,False,False,2.1120475999996415,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (3).JPG,True,False,False,1.9305038000020431,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (30).JPG,True,True,True,2.070913899995503,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (31).JPG,True,True,True,1.9669590999983484,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (32).JPG,True,True,True,2.2214470999970217,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (33).JPG,True,True,True,2.010291099999449,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (34).JPG,True,True,True,2.093590199998289,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (35).JPG,True,True,True,2.190172300004633,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (36).JPG,True,True,True,2.185585599996557,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (37).JPG,True,True,True,2.318395199996303,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (38).JPG,True,True,True,1.9117526000045473,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (39).JPG,True,True,True,6.143102800000634,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (4).JPG,True,False,False,1.8380124000032083,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (40).JPG,True,True,True,2.764998499995272,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (41).JPG,True,True,True,1.9269017999977223,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (42).JPG,True,True,True,2.3530351000008523,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (43).JPG,True,True,True,1.976478299999144,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (44).JPG,True,True,True,2.302266899998358,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (45).JPG,True,True,True,3.583210800003144,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (46).JPG,True,True,True,2.4529613999984576,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (47).JPG,True,True,True,1.8715478000012808,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (48).JPG,True,True,True,1.9972029000055045,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (49).JPG,True,True,True,4.1372979000007035,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (5).JPG,True,True,True,2.042174399997748,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (6).JPG,True,True,True,1.818454499996733,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (7).JPG,True,True,True,2.156990499999665,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (8).JPG,True,True,True,2.1795306999993045,2795,5,2800,0.00209625,1.25e-05,0.00210875
com lixo (9).JPG,True,True,True,1.8731762999959756,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (1).JPG,False,False,True,2.271922899999481,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (10).JPG,False,False,True,2.497389899996051,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (11).JPG,False,False,True,2.5120624999981374,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (12).JPG,False,False,True,2.328355099998589,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (13).JPG,False,False,True,2.2960300000049756,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (14).JPG,False,False,True,1.9609358999950928,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (15).JPG,False,False,True,2.831863400002476,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (16).JPG,False,False,True,1.9438280999966082,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (17).JPG,False,False,True,2.058581700002833,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (18).JPG,False,False,True,2.061934700002894,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (19).JPG,False,False,True,3.4464238000000478,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (2).JPG,False,False,True,1.864765600003011,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (20).JPG,False,True,False,2.042335300000559,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (21).JPG,False,False,True,3.0078001000001677,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (22).JPG,False,False,True,2.2549538999955985,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (23).JPG,False,False,True,3.6411179000060656,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (24).JPG,False,False,True,2.5782276000027196,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (25).JPG,False,False,True,3.7160776000018814,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (26).JPG,False,False,True,3.0326800999973784,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (27).JPG,False,False,True,2.038591799995629,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (28).JPG,False,False,True,2.0499112000034074,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (29).JPG,False,False,True,2.250854000005347,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (3).JPG,False,False,True,1.6435856000025524,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (30).JPG,False,False,True,2.0481139999974403,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (31).JPG,False,False,True,1.9852087999970536,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (4).JPG,False,False,True,1.9373783999981242,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (5).JPG,False,False,True,1.6714868000053684,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (6).JPG,False,False,True,1.5985006999981124,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (7).JPG,False,False,True,1.6677591999978176,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (8).JPG,False,False,True,1.7923351999997976,2795,5,2800,0.00209625,1.25e-05,0.00210875
sem lixo (9).JPG,False,False,True,2.261155100000906,2795,5,2800,0.00209625,1.25e-05,0.00210875
