imagem,esperado,predito,correto,tempo,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,14.370065499999328,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (10).JPG,True,True,True,4.083162700000685,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (11).JPG,True,True,True,9.718338999999105,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (12).JPG,True,True,True,4.787211200000456,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (13).JPG,True,True,True,3.7632612000015797,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (14).JPG,True,True,True,4.917579600001773,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (15).JPG,True,True,True,5.006907599999977,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (16).JPG,True,True,True,3.821236300002056,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (17).JPG,True,True,True,4.86937559999933,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (18).JPG,True,True,True,4.588172700001451,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (19).JPG,True,True,True,4.449190600000293,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (2).JPG,True,False,False,5.256695799998852,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (20).JPG,True,True,True,4.078960299997561,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (21).JPG,True,True,True,4.345055000001594,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (22).JPG,True,True,True,4.535578800001531,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
com lixo (23).JPG,True,False,False,6.645379100002174,2475,2,2477,0.00099,3.2000000000000003e-06,0.0009932
