imagem,esperado,predito,correto,tempo,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,8.549104699999589,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (10).JPG,True,True,True,3.8822524000024714,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (11).JPG,True,True,True,2.5915452999979607,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (12).JPG,True,True,True,3.203573499999038,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (13).JPG,True,True,True,2.6882530999973824,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (14).JPG,True,True,True,3.223230400002649,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (15).JPG,True,True,True,5.125630999998975,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (16).JPG,True,True,True,2.9435433999969973,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (17).JPG,True,True,True,3.077038800001901,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (18).JPG,True,True,True,2.5929434999998193,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (19).JPG,True,True,True,2.880106700002216,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (2).JPG,True,True,True,3.0974650000025576,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (20).JPG,True,True,True,2.5788173000000825,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (21).JPG,True,True,True,3.389638799999375,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (22).JPG,True,True,True,3.198727200000576,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (23).JPG,True,True,True,2.795748000000458,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (24).JPG,True,False,False,3.0635937999977614,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (25).JPG,True,False,False,2.801212599999417,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (26).JPG,True,True,True,2.7710693000008177,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (27).JPG,True,True,True,3.2673193999980867,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (28).JPG,True,True,True,2.327108199999202,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (29).JPG,True,True,True,5.179667899999913,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (3).JPG,True,False,False,2.39936790000138,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (30).JPG,True,True,True,2.890151200001128,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (31).JPG,True,True,True,2.6271723999998358,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (32).JPG,True,True,True,3.304614100001345,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (33).JPG,True,True,True,2.588348000001133,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (34).JPG,True,True,True,2.697676700001466,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (35).JPG,True,True,True,4.1912444999979925,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (36).JPG,True,True,True,3.6397273000002315,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (37).JPG,True,True,True,3.6247229000000516,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (38).JPG,True,True,True,3.1785333000007086,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (39).JPG,True,True,True,2.6124811000008776,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (4).JPG,True,True,True,3.4527486999977555,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (40).JPG,True,True,True,3.107965299997886,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (41).JPG,True,True,True,2.8995271999992838,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (42).JPG,True,True,True,3.509404500000528,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (43).JPG,True,True,True,2.5825791999996,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (44).JPG,True,True,True,3.932461800002784,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (45).JPG,True,True,True,3.116573499999504,2795,5,2800,0.000559,6.25e-06,0.00056525
com lixo (46).JPG,True,True,True,2.986536000000342,2795,5,2800,0.000559,6.25e-06,0.00056525
