imagem,esperado,predito,correto,tempo,input_tokens,output_tokens,total_tokens,preco_input,preco_output,preco_total
com lixo (1).JPG,True,True,True,9.933829600002355,3486,214,3700,0.0001743,8.560000000000001e-05,0.00025990000000000003
com lixo (10).JPG,True,True,True,5.323788199999399,3486,204,3690,0.0001743,8.16e-05,0.0002559
com lixo (11).JPG,True,True,True,3.1759622000026866,3486,159,3645,0.0001743,6.36e-05,0.0002379
com lixo (12).JPG,True,True,True,4.38004699999874,3486,201,3687,0.0001743,8.04e-05,0.0002547
com lixo (13).JPG,True,True,True,3.967197199999646,3486,233,3719,0.0001743,9.32e-05,0.0002675
com lixo (14).JPG,True,True,True,3.049594199997955,3486,115,3601,0.0001743,4.600000000000001e-05,0.00022030000000000002
com lixo (15).JPG,True,True,True,3.654204300000856,3486,177,3663,0.0001743,7.08e-05,0.0002451
com lixo (16).JPG,True,True,True,5.674732299998141,3486,293,3779,0.0001743,0.00011720000000000002,0.00029150000000000004
com lixo (17).JPG,True,True,True,4.203851800000848,3486,184,3670,0.0001743,7.36e-05,0.0002479
com lixo (18).JPG,True,True,True,3.4401368999970146,3486,183,3669,0.0001743,7.32e-05,0.0002475
com lixo (19).JPG,True,True,True,7.548884299998463,3486,201,3687,0.0001743,8.04e-05,0.0002547
com lixo (2).JPG,True,False,False,4.827125199997681,3486,328,3814,0.0001743,0.00013120000000000002,0.0003055
com lixo (20).JPG,True,True,True,3.330531899999187,3486,151,3637,0.0001743,6.0400000000000004e-05,0.0002347
com lixo (21).JPG,True,True,True,4.748170499999105,3486,246,3732,0.0001743,9.84e-05,0.0002727
com lixo (22).JPG,True,True,True,6.531238600000506,3486,294,3780,0.0001743,0.00011760000000000001,0.0002919
com lixo (23).JPG,True,True,True,4.4078096999983245,3486,286,3772,0.0001743,0.00011440000000000002,0.0002887
com lixo (24).JPG,True,False,False,5.304264200000034,3486,347,3833,0.0001743,0.0001388,0.0003131
com lixo (25).JPG,True,False,False,3.767184200001793,3486,240,3726,0.0001743,9.6e-05,0.0002703
com lixo (26).JPG,True,True,True,5.613608299998305,3486,256,3742,0.0001743,0.00010240000000000001,0.0002767
com lixo (27).JPG,True,True,True,4.151765200000227,3486,291,3777,0.0001743,0.00011640000000000001,0.0002907
com lixo (28).JPG,True,True,True,3.5194974999976694,3486,169,3655,0.0001743,6.76e-05,0.00024190000000000003
