image,expected,detected,prediction,confidence,inference_time,correct
com lixo (1).JPG,com lixo,True,com lixo,0.9055860042572021,6.208585000000312,True
com lixo (10).JPG,com lixo,True,com lixo,0.7716332674026489,1.5034028999998554,True
com lixo (11).JPG,com lixo,True,com lixo,0.7866799235343933,1.4415635999994265,True
com lixo (12).JPG,com lixo,True,com lixo,0.7796398997306824,1.3870638000007602,True
com lixo (13).JPG,com lixo,True,com lixo,0.8257862329483032,1.3816165999996883,True
com lixo (14).JPG,com lixo,True,com lixo,0.8268263339996338,1.4090733000011824,True
com lixo (15).JPG,com lixo,True,com lixo,0.8355584144592285,1.3701254999996308,True
com lixo (16).JPG,com lixo,True,com lixo,0.789905309677124,1.3886265999990428,True
com lixo (17).JPG,com lixo,True,com lixo,0.8260271549224854,1.4339397000003373,True
com lixo (18).JPG,com lixo,True,com lixo,0.843043327331543,1.3796328999997058,True
com lixo (19).JPG,com lixo,True,com lixo,0.8267059326171875,1.3591264999995474,True
com lixo (2).JPG,com lixo,False,sem lixo,0.0,1.38265759999922,False
com lixo (20).JPG,com lixo,True,com lixo,0.8321126699447632,1.4383099999995466,True
com lixo (21).JPG,com lixo,True,com lixo,0.8368128538131714,1.34677290000036,True
com lixo (22).JPG,com lixo,True,com lixo,0.8766976594924927,1.3682735999991564,True
com lixo (23).JPG,com lixo,True,com lixo,0.8572758436203003,1.3866605000002892,True
com lixo (24).JPG,com lixo,True,com lixo,0.8781178593635559,1.342336499999874,True
com lixo (25).JPG,com lixo,True,com lixo,0.8945257067680359,1.3515147999987676,True
com lixo (26).JPG,com lixo,True,com lixo,0.7343690395355225,1.4371336000003794,True
com lixo (27).JPG,com lixo,True,com lixo,0.7326698899269104,1.4134059000007255,True
com lixo (28).JPG,com lixo,True,com lixo,0.7932542562484741,1.4215079000005062,True
com lixo (29).JPG,com lixo,False,sem lixo,0.0,1.3895357999990665,False
com lixo (3).JPG,com lixo,True,com lixo,0.898590087890625,1.3872905999996874,True
com lixo (30).JPG,com lixo,True,com lixo,0.8572683930397034,1.3770845999988524,True
com lixo (31).JPG,com lixo,True,com lixo,0.8851204514503479,1.3789515999997093,True
com lixo (32).JPG,com lixo,True,com lixo,0.8227434158325195,1.4338415999991412,True
com lixo (33).JPG,com lixo,True,com lixo,0.5443716645240784,1.3899763000008534,True
com lixo (34).JPG,com lixo,True,com lixo,0.8263872861862183,1.381787099999201,True
com lixo (35).JPG,com lixo,True,com lixo,0.8311163187026978,1.4265675000006013,True
com lixo (36).JPG,com lixo,True,com lixo,0.7021734714508057,1.3925667999992584,True
com lixo (37).JPG,com lixo,True,com lixo,0.80078125,1.4390043999992486,True
com lixo (38).JPG,com lixo,True,com lixo,0.874813437461853,1.389082800000324,True
com lixo (39).JPG,com lixo,True,com lixo,0.8982113599777222,2.0734296000009635,True
