image,expected,detected,prediction,confidence,inference_time,correct
com lixo (1).JPG,com lixo,True,com lixo,0.9055860042572021,5.482586500002071,True
com lixo (10).JPG,com lixo,True,com lixo,0.7716332674026489,1.3044793999979447,True
com lixo (11).JPG,com lixo,True,com lixo,0.7866799235343933,1.2414251000009244,True
com lixo (12).JPG,com lixo,True,com lixo,0.7796398997306824,1.2135034000020823,True
com lixo (13).JPG,com lixo,True,com lixo,0.8257862329483032,1.2403250000024855,True
com lixo (14).JPG,com lixo,True,com lixo,0.8268263339996338,1.212268999999651,True
com lixo (15).JPG,com lixo,True,com lixo,0.8355584144592285,1.2153198999985761,True
com lixo (16).JPG,com lixo,True,com lixo,0.789905309677124,1.286739099999977,True
com lixo (17).JPG,com lixo,True,com lixo,0.8260271549224854,1.2473711999991792,True
com lixo (18).JPG,com lixo,True,com lixo,0.843043327331543,1.209185499999876,True
com lixo (19).JPG,com lixo,True,com lixo,0.8267059326171875,1.2148181999982626,True
com lixo (2).JPG,com lixo,False,sem lixo,0.0,1.2172972000007576,False
com lixo (20).JPG,com lixo,True,com lixo,0.8321126699447632,1.2502245000032417,True
com lixo (21).JPG,com lixo,True,com lixo,0.8368128538131714,1.229426699999749,True
com lixo (22).JPG,com lixo,True,com lixo,0.8766976594924927,1.233483799998794,True
com lixo (23).JPG,com lixo,True,com lixo,0.8572758436203003,1.224878599998192,True
com lixo (24).JPG,com lixo,True,com lixo,0.8781178593635559,1.2285446000023512,True
com lixo (25).JPG,com lixo,True,com lixo,0.8945257067680359,1.2101462999999058,True
com lixo (26).JPG,com lixo,True,com lixo,0.7343690395355225,1.2189006000007794,True
com lixo (27).JPG,com lixo,True,com lixo,0.7326698899269104,1.224995200002013,True
com lixo (28).JPG,com lixo,True,com lixo,0.7932542562484741,1.2329242999985581,True
com lixo (29).JPG,com lixo,False,sem lixo,0.0,1.243509300002188,False
com lixo (3).JPG,com lixo,True,com lixo,0.898590087890625,1.2110923000000184,True
com lixo (30).JPG,com lixo,True,com lixo,0.8572683930397034,1.2492885999999999,True
com lixo (31).JPG,com lixo,True,com lixo,0.8851204514503479,1.2128202000021702,True
com lixo (32).JPG,com lixo,True,com lixo,0.8227434158325195,1.3069909000005282,True
com lixo (33).JPG,com lixo,False,sem lixo,0.0,1.2255603999983578,False
com lixo (34).JPG,com lixo,True,com lixo,0.8263872861862183,1.2150857999986329,True
com lixo (35).JPG,com lixo,True,com lixo,0.8311163187026978,1.2125453000007838,True
com lixo (36).JPG,com lixo,True,com lixo,0.7021734714508057,1.2429039000016928,True
com lixo (37).JPG,com lixo,True,com lixo,0.80078125,1.217590399999608,True
com lixo (38).JPG,com lixo,True,com lixo,0.874813437461853,1.269061499999225,True
com lixo (39).JPG,com lixo,True,com lixo,0.8982113599777222,1.2230756999997539,True
com lixo (4).JPG,com lixo,True,com lixo,0.8928617238998413,1.3720954000018537,True
com lixo (40).JPG,com lixo,True,com lixo,0.8454680442810059,1.2299712000021827,True
com lixo (41).JPG,com lixo,True,com lixo,0.8415394425392151,1.2397118999979284,True
com lixo (42).JPG,com lixo,True,com lixo,0.8735431432723999,1.221925800000463,True
com lixo (43).JPG,com lixo,True,com lixo,0.8582918643951416,1.2379566999989038,True
com lixo (44).JPG,com lixo,True,com lixo,0.8621912598609924,1.2269167000013113,True
com lixo (45).JPG,com lixo,True,com lixo,0.8435451984405518,1.290147200001229,True
com lixo (46).JPG,com lixo,True,com lixo,0.8695552349090576,1.2096713999999338,True
com lixo (47).JPG,com lixo,True,com lixo,0.8558275699615479,1.2351705000000948,True
com lixo (48).JPG,com lixo,True,com lixo,0.8925591111183167,1.2210325999985798,True
com lixo (49).JPG,com lixo,True,com lixo,0.8751594424247742,1.2280418000009377,True
com lixo (5).JPG,com lixo,True,com lixo,0.7223985195159912,1.2278384999990521,True
com lixo (6).JPG,com lixo,True,com lixo,0.8170679807662964,1.2503966000003857,True
com lixo (7).JPG,com lixo,False,sem lixo,0.0,1.2286160999974527,False
com lixo (8).JPG,com lixo,False,sem lixo,0.0,1.2108159999988857,False
com lixo (9).JPG,com lixo,True,com lixo,0.6408534049987793,1.2196384999988368,True
sem lixo (1).JPG,sem lixo,False,sem lixo,0.0,1.228655399998388,True
sem lixo (10).JPG,sem lixo,False,sem lixo,0.0,1.2198309999985213,True
sem lixo (11).JPG,sem lixo,False,sem lixo,0.0,1.362523699997837,True
sem lixo (12).JPG,sem lixo,False,sem lixo,0.0,1.2795052000001306,True
sem lixo (13).JPG,sem lixo,False,sem lixo,0.0,1.56409419999909,True
sem lixo (14).JPG,sem lixo,False,sem lixo,0.0,1.2795297999982722,True
sem lixo (15).JPG,sem lixo,False,sem lixo,0.0,1.3540776000008918,True
