image,expected,detected,prediction,confidence,inference_time,correct
com lixo (1).JPG,com lixo,True,com lixo,0.9055860042572021,7.3606242000005295,True
com lixo (10).JPG,com lixo,True,com lixo,0.7716332674026489,1.6608785000007629,True
com lixo (11).JPG,com lixo,True,com lixo,0.7866799235343933,1.4735848999989685,True
com lixo (12).JPG,com lixo,True,com lixo,0.7796398997306824,1.4584104000005027,True
com lixo (13).JPG,com lixo,True,com lixo,0.8257862329483032,1.4646546000003582,True
com lixo (14).JPG,com lixo,True,com lixo,0.8268263339996338,1.436797899999874,True
com lixo (15).JPG,com lixo,True,com lixo,0.8355584144592285,1.4498191000002407,True
com lixo (16).JPG,com lixo,True,com lixo,0.789905309677124,1.4681638999991264,True
com lixo (17).JPG,com lixo,True,com lixo,0.8260271549224854,1.5396259000008286,True
com lixo (18).JPG,com lixo,True,com lixo,0.843043327331543,1.5157533999990846,True
com lixo (19).JPG,com lixo,True,com lixo,0.8267059326171875,1.486969900000986,True
com lixo (2).JPG,com lixo,False,sem lixo,0.0,1.5128263999995397,False
com lixo (20).JPG,com lixo,True,com lixo,0.8321126699447632,1.4745309999998426,True
com lixo (21).JPG,com lixo,True,com lixo,0.8368128538131714,1.48229419999916,True
com lixo (22).JPG,com lixo,True,com lixo,0.8766976594924927,1.5061562999999296,True
com lixo (23).JPG,com lixo,True,com lixo,0.8572758436203003,1.4862723000005644,True
com lixo (24).JPG,com lixo,True,com lixo,0.8781178593635559,1.521426600000268,True
com lixo (25).JPG,com lixo,True,com lixo,0.8945257067680359,1.6776427999993757,True
com lixo (26).JPG,com lixo,True,com lixo,0.7343690395355225,1.5646464000001288,True
com lixo (27).JPG,com lixo,True,com lixo,0.7326698899269104,1.528137200000856,True
com lixo (28).JPG,com lixo,True,com lixo,0.7932542562484741,1.8075036000009277,True
com lixo (29).JPG,com lixo,False,sem lixo,0.0,1.6108012000004237,False
com lixo (3).JPG,com lixo,True,com lixo,0.898590087890625,1.4599279000012757,True
com lixo (30).JPG,com lixo,True,com lixo,0.8572683930397034,1.4930256999996345,True
com lixo (31).JPG,com lixo,True,com lixo,0.8851204514503479,1.5321812000001955,True
com lixo (32).JPG,com lixo,True,com lixo,0.8227434158325195,1.2955713000010292,True
com lixo (33).JPG,com lixo,True,com lixo,0.5443716645240784,1.2083549999988463,True
com lixo (34).JPG,com lixo,True,com lixo,0.8263872861862183,1.2981506999985868,True
com lixo (35).JPG,com lixo,True,com lixo,0.8311163187026978,1.170787900000505,True
com lixo (36).JPG,com lixo,True,com lixo,0.7021734714508057,1.2080529000013485,True
com lixo (37).JPG,com lixo,True,com lixo,0.80078125,1.263512700001229,True
com lixo (38).JPG,com lixo,True,com lixo,0.874813437461853,1.328092600000673,True
com lixo (39).JPG,com lixo,True,com lixo,0.8982113599777222,1.2613772000004246,True
com lixo (4).JPG,com lixo,True,com lixo,0.8928617238998413,1.2778282999988733,True
com lixo (40).JPG,com lixo,True,com lixo,0.8454680442810059,1.9542440000004717,True
com lixo (41).JPG,com lixo,True,com lixo,0.8415394425392151,1.526621900000464,True
com lixo (42).JPG,com lixo,True,com lixo,0.8735431432723999,1.4693033999992622,True
com lixo (43).JPG,com lixo,True,com lixo,0.8582918643951416,1.4652516999994987,True
com lixo (44).JPG,com lixo,True,com lixo,0.8621912598609924,1.471254100000806,True
com lixo (45).JPG,com lixo,True,com lixo,0.8435451984405518,1.486108900000545,True
com lixo (46).JPG,com lixo,True,com lixo,0.8695552349090576,1.4710197000003973,True
com lixo (47).JPG,com lixo,True,com lixo,0.8558275699615479,1.5187882999998692,True
com lixo (48).JPG,com lixo,True,com lixo,0.8925591111183167,1.4179330999995727,True
com lixo (49).JPG,com lixo,True,com lixo,0.8751594424247742,1.5186886999999842,True
com lixo (5).JPG,com lixo,True,com lixo,0.7223985195159912,1.5049992999993265,True
com lixo (6).JPG,com lixo,True,com lixo,0.8170679807662964,1.4965534000002663,True
com lixo (7).JPG,com lixo,False,sem lixo,0.0,1.4667056999987835,False
com lixo (8).JPG,com lixo,False,sem lixo,0.0,1.4959439000012935,False
com lixo (9).JPG,com lixo,True,com lixo,0.6408534049987793,1.5077393999999913,True
sem lixo (1).JPG,sem lixo,False,sem lixo,0.0,1.4755032000011852,True
sem lixo (10).JPG,sem lixo,False,sem lixo,0.0,1.463379900000291,True
sem lixo (11).JPG,sem lixo,False,sem lixo,0.0,1.421753799999351,True
sem lixo (12).JPG,sem lixo,False,sem lixo,0.0,1.4681318999992072,True
sem lixo (13).JPG,sem lixo,False,sem lixo,0.0,1.4184232000006887,True
sem lixo (14).JPG,sem lixo,False,sem lixo,0.0,1.589557600000262,True
sem lixo (15).JPG,sem lixo,False,sem lixo,0.0,1.4835222999990947,True
sem lixo (16).JPG,sem lixo,False,sem lixo,0.0,1.4103089999989606,True
sem lixo (17).JPG,sem lixo,False,sem lixo,0.0,1.453262299999551,True
sem lixo (18).JPG,sem lixo,False,sem lixo,0.0,1.548593499999697,True
sem lixo (19).JPG,sem lixo,True,com lixo,0.71681809425354,1.447623799998837,False
sem lixo (2).JPG,sem lixo,False,sem lixo,0.0,1.4539303000001382,True
sem lixo (20).JPG,sem lixo,False,sem lixo,0.0,1.4501966000007087,True
sem lixo (21).JPG,sem lixo,False,sem lixo,0.0,1.474172099999123,True
sem lixo (22).JPG,sem lixo,True,com lixo,0.9111751914024353,1.8106511000005412,False
sem lixo (23).JPG,sem lixo,False,sem lixo,0.0,1.4388690999985556,True
sem lixo (24).JPG,sem lixo,False,sem lixo,0.0,1.417837099999815,True
sem lixo (25).JPG,sem lixo,False,sem lixo,0.0,1.4379170000011072,True
sem lixo (26).JPG,sem lixo,False,sem lixo,0.0,1.4279248000002553,True
sem lixo (27).JPG,sem lixo,False,sem lixo,0.0,1.4944888999998511,True
sem lixo (28).JPG,sem lixo,False,sem lixo,0.0,1.4590773999989324,True
sem lixo (29).JPG,sem lixo,False,sem lixo,0.0,1.3908959000000323,True
sem lixo (3).JPG,sem lixo,False,sem lixo,0.0,1.466408300000694,True
sem lixo (30).JPG,sem lixo,False,sem lixo,0.0,1.4580844000010984,True
sem lixo (31).JPG,sem lixo,False,sem lixo,0.0,1.4241505000009056,True
sem lixo (4).JPG,sem lixo,False,sem lixo,0.0,1.5525391999999556,True
sem lixo (5).JPG,sem lixo,False,sem lixo,0.0,1.4443458999994618,True
sem lixo (6).JPG,sem lixo,False,sem lixo,0.0,1.442160699998567,True
sem lixo (7).JPG,sem lixo,False,sem lixo,0.0,1.4532459000001836,True
sem lixo (8).JPG,sem lixo,False,sem lixo,0.0,1.460569900000337,True
sem lixo (9).JPG,sem lixo,False,sem lixo,0.0,1.4091922999996314,True
