image,expected,detected,prediction,confidence,inference_time,correct
com lixo (1).JPG,com lixo,True,com lixo,0.9055860042572021,5.809427599999253,True
com lixo (10).JPG,com lixo,False,sem lixo,0.0,1.301445800001602,False
com lixo (11).JPG,com lixo,False,sem lixo,0.0,1.284036000000924,False
com lixo (12).JPG,com lixo,False,sem lixo,0.0,1.2553815999999642,False
com lixo (13).JPG,com lixo,True,com lixo,0.8257862329483032,1.257670599999983,True
com lixo (14).JPG,com lixo,True,com lixo,0.8268263339996338,1.2693242999994254,True
com lixo (15).JPG,com lixo,True,com lixo,0.8355584144592285,1.2276927000002615,True
com lixo (16).JPG,com lixo,False,sem lixo,0.0,1.3137121999989176,False
com lixo (17).JPG,com lixo,True,com lixo,0.8260271549224854,1.2156563000007736,True
com lixo (18).JPG,com lixo,True,com lixo,0.843043327331543,1.3042029999996885,True
com lixo (19).JPG,com lixo,True,com lixo,0.8267059326171875,1.2477337000000261,True
com lixo (2).JPG,com lixo,False,sem lixo,0.0,1.2673118000002432,False
com lixo (20).JPG,com lixo,True,com lixo,0.8321126699447632,1.244528100000025,True
com lixo (21).JPG,com lixo,True,com lixo,0.8368128538131714,1.2993499000003794,True
com lixo (22).JPG,com lixo,True,com lixo,0.8766976594924927,1.2406797999992705,True
com lixo (23).JPG,com lixo,True,com lixo,0.8572758436203003,1.2643157999991672,True
com lixo (24).JPG,com lixo,True,com lixo,0.8781178593635559,1.2776914999994915,True
com lixo (25).JPG,com lixo,True,com lixo,0.8945257067680359,1.2741718999986915,True
com lixo (26).JPG,com lixo,False,sem lixo,0.0,1.2465855999998894,False
com lixo (27).JPG,com lixo,False,sem lixo,0.0,1.2484896000005392,False
com lixo (28).JPG,com lixo,False,sem lixo,0.0,1.2492278999998234,False
com lixo (29).JPG,com lixo,False,sem lixo,0.0,1.3159529999993538,False
com lixo (3).JPG,com lixo,True,com lixo,0.898590087890625,1.624650499999916,True
com lixo (30).JPG,com lixo,True,com lixo,0.8572683930397034,1.4402516999998625,True
com lixo (31).JPG,com lixo,True,com lixo,0.8851204514503479,1.4636582999992243,True
com lixo (32).JPG,com lixo,True,com lixo,0.8227434158325195,1.455021099998703,True
com lixo (33).JPG,com lixo,False,sem lixo,0.0,1.799237400000493,False
com lixo (34).JPG,com lixo,True,com lixo,0.8263872861862183,1.4395832999998674,True
com lixo (35).JPG,com lixo,True,com lixo,0.8311163187026978,1.4007530999988376,True
com lixo (36).JPG,com lixo,False,sem lixo,0.0,1.4229969000007259,False
com lixo (37).JPG,com lixo,True,com lixo,0.80078125,1.4502719000010984,True
com lixo (38).JPG,com lixo,True,com lixo,0.874813437461853,1.4320676999996067,True
com lixo (39).JPG,com lixo,True,com lixo,0.8982113599777222,1.426785599998766,True
com lixo (4).JPG,com lixo,True,com lixo,0.8928617238998413,1.4052771999995457,True
com lixo (40).JPG,com lixo,True,com lixo,0.8454680442810059,1.4350653999990755,True
com lixo (41).JPG,com lixo,True,com lixo,0.8415394425392151,1.4292600999997376,True
com lixo (42).JPG,com lixo,True,com lixo,0.8735431432723999,1.3949869999996736,True
com lixo (43).JPG,com lixo,True,com lixo,0.8582918643951416,1.4364017999996577,True
com lixo (44).JPG,com lixo,True,com lixo,0.8621912598609924,1.4348681999999826,True
com lixo (45).JPG,com lixo,True,com lixo,0.8435451984405518,1.4357882999993308,True
com lixo (46).JPG,com lixo,True,com lixo,0.8695552349090576,1.4571825000002718,True
com lixo (47).JPG,com lixo,True,com lixo,0.8558275699615479,1.4836730000006355,True
com lixo (48).JPG,com lixo,True,com lixo,0.8925591111183167,1.4104495999999926,True
com lixo (49).JPG,com lixo,True,com lixo,0.8751594424247742,1.5039723999998387,True
com lixo (5).JPG,com lixo,False,sem lixo,0.0,1.426312899999175,False
com lixo (6).JPG,com lixo,True,com lixo,0.8170679807662964,1.4720022000001336,True
com lixo (7).JPG,com lixo,False,sem lixo,0.0,1.2208513999994466,False
com lixo (8).JPG,com lixo,False,sem lixo,0.0,1.1426549000007071,False
com lixo (9).JPG,com lixo,False,sem lixo,0.0,1.2341467999995075,False
sem lixo (1).JPG,sem lixo,False,sem lixo,0.0,1.1766119999992952,True
sem lixo (10).JPG,sem lixo,False,sem lixo,0.0,1.1449792000003072,True
sem lixo (11).JPG,sem lixo,False,sem lixo,0.0,1.1481370000001334,True
sem lixo (12).JPG,sem lixo,False,sem lixo,0.0,1.1492276999997557,True
sem lixo (13).JPG,sem lixo,False,sem lixo,0.0,1.212361799998689,True
sem lixo (14).JPG,sem lixo,False,sem lixo,0.0,1.1655138000005536,True
sem lixo (15).JPG,sem lixo,False,sem lixo,0.0,1.1430594000012206,True
