image,expected,detected,prediction,confidence,inference_time,correct
com lixo (1).JPG,com lixo,True,com lixo,0.9055860042572021,6.001278200001252,True
com lixo (10).JPG,com lixo,True,com lixo,0.7716332674026489,1.4052097999992839,True
com lixo (11).JPG,com lixo,True,com lixo,0.7866799235343933,1.3299231000000873,True
com lixo (12).JPG,com lixo,True,com lixo,0.7796398997306824,1.2383824000007735,True
com lixo (13).JPG,com lixo,True,com lixo,0.8257862329483032,1.2159471000013582,True
com lixo (14).JPG,com lixo,True,com lixo,0.8268263339996338,1.2231422000004386,True
com lixo (15).JPG,com lixo,True,com lixo,0.8355584144592285,1.2277919999996811,True
com lixo (16).JPG,com lixo,True,com lixo,0.789905309677124,1.2496435999983078,True
com lixo (17).JPG,com lixo,True,com lixo,0.8260271549224854,1.2079037000003154,True
com lixo (18).JPG,com lixo,True,com lixo,0.843043327331543,1.2356313000000227,True
com lixo (19).JPG,com lixo,True,com lixo,0.8267059326171875,1.205339299998741,True
com lixo (2).JPG,com lixo,False,sem lixo,0.0,1.5937842999992426,False
com lixo (20).JPG,com lixo,True,com lixo,0.8321126699447632,1.2662369000008766,True
com lixo (21).JPG,com lixo,True,com lixo,0.8368128538131714,1.2553812999994989,True
com lixo (22).JPG,com lixo,True,com lixo,0.8766976594924927,1.2270341999992525,True
com lixo (23).JPG,com lixo,True,com lixo,0.8572758436203003,1.293505899999218,True
com lixo (24).JPG,com lixo,True,com lixo,0.8781178593635559,1.2015109000003577,True
com lixo (25).JPG,com lixo,True,com lixo,0.8945257067680359,1.2133460999993986,True
com lixo (26).JPG,com lixo,True,com lixo,0.7343690395355225,1.2042949999995471,True
com lixo (27).JPG,com lixo,True,com lixo,0.7326698899269104,1.2952751999982866,True
com lixo (28).JPG,com lixo,True,com lixo,0.7932542562484741,1.2654954999998154,True
com lixo (29).JPG,com lixo,False,sem lixo,0.0,1.2187356000013096,False
com lixo (3).JPG,com lixo,True,com lixo,0.898590087890625,1.2216943000003084,True
com lixo (30).JPG,com lixo,True,com lixo,0.8572683930397034,1.5115487000002759,True
com lixo (31).JPG,com lixo,True,com lixo,0.8851204514503479,1.4064292000002752,True
com lixo (32).JPG,com lixo,True,com lixo,0.8227434158325195,1.5926226999999926,True
com lixo (33).JPG,com lixo,True,com lixo,0.5443716645240784,1.2597354000008636,True
com lixo (34).JPG,com lixo,True,com lixo,0.8263872861862183,1.2560520000006363,True
com lixo (35).JPG,com lixo,True,com lixo,0.8311163187026978,1.3125789999994595,True
com lixo (36).JPG,com lixo,True,com lixo,0.7021734714508057,1.2366550999995525,True
com lixo (37).JPG,com lixo,True,com lixo,0.80078125,1.275782499998968,True
com lixo (38).JPG,com lixo,True,com lixo,0.874813437461853,1.2341281000008166,True
com lixo (39).JPG,com lixo,True,com lixo,0.8982113599777222,1.2396571999997832,True
com lixo (4).JPG,com lixo,True,com lixo,0.8928617238998413,1.2366009999987,True
com lixo (40).JPG,com lixo,True,com lixo,0.8454680442810059,1.3105777000000671,True
com lixo (41).JPG,com lixo,True,com lixo,0.8415394425392151,1.3061391999999614,True
com lixo (42).JPG,com lixo,True,com lixo,0.8735431432723999,1.2330127999994147,True
com lixo (43).JPG,com lixo,True,com lixo,0.8582918643951416,1.3298599000008835,True
com lixo (44).JPG,com lixo,True,com lixo,0.8621912598609924,1.2603040000012697,True
com lixo (45).JPG,com lixo,True,com lixo,0.8435451984405518,1.2335806999999477,True
com lixo (46).JPG,com lixo,True,com lixo,0.8695552349090576,1.2152530000003026,True
com lixo (47).JPG,com lixo,True,com lixo,0.8558275699615479,1.2037455999998201,True
com lixo (48).JPG,com lixo,True,com lixo,0.8925591111183167,1.2318706999994902,True
com lixo (49).JPG,com lixo,True,com lixo,0.8751594424247742,1.2594053000011627,True
com lixo (5).JPG,com lixo,True,com lixo,0.7223985195159912,1.2384961999996449,True
com lixo (6).JPG,com lixo,True,com lixo,0.8170679807662964,1.2840966999992816,True
com lixo (7).JPG,com lixo,False,sem lixo,0.0,1.2637243000008311,False
com lixo (8).JPG,com lixo,False,sem lixo,0.0,1.2307380999991437,False
com lixo (9).JPG,com lixo,True,com lixo,0.6408534049987793,1.2264575000008335,True
sem lixo (1).JPG,sem lixo,False,sem lixo,0.0,1.2232444000001124,True
sem lixo (10).JPG,sem lixo,False,sem lixo,0.0,1.2312020999997912,True
sem lixo (11).JPG,sem lixo,False,sem lixo,0.0,1.2738305000002583,True
sem lixo (12).JPG,sem lixo,False,sem lixo,0.0,1.2739887000007002,True
sem lixo (13).JPG,sem lixo,False,sem lixo,0.0,1.3183587000003172,True
sem lixo (14).JPG,sem lixo,False,sem lixo,0.0,1.2272496000005049,True
sem lixo (15).JPG,sem lixo,False,sem lixo,0.0,1.215835999999399,True
sem lixo (16).JPG,sem lixo,False,sem lixo,0.0,1.2147320000003674,True
sem lixo (17).JPG,sem lixo,False,sem lixo,0.0,1.2009159000008367,True
sem lixo (18).JPG,sem lixo,False,sem lixo,0.0,1.2355566000005638,True
sem lixo (19).JPG,sem lixo,True,com lixo,0.71681809425354,1.2108332000007067,False
sem lixo (2).JPG,sem lixo,False,sem lixo,0.0,1.733419700000013,True
sem lixo (20).JPG,sem lixo,False,sem lixo,0.0,1.8959890000005544,True
sem lixo (21).JPG,sem lixo,False,sem lixo,0.0,1.4106228000000556,True
sem lixo (22).JPG,sem lixo,True,com lixo,0.9111751914024353,1.4985569000000396,False
sem lixo (23).JPG,sem lixo,False,sem lixo,0.0,1.4758515000012267,True
sem lixo (24).JPG,sem lixo,False,sem lixo,0.0,1.5504022000004625,True
sem lixo (25).JPG,sem lixo,False,sem lixo,0.0,2.0495817000009993,True
sem lixo (26).JPG,sem lixo,False,sem lixo,0.0,1.8030440000002272,True
sem lixo (27).JPG,sem lixo,False,sem lixo,0.0,1.5286670999994385,True
sem lixo (28).JPG,sem lixo,False,sem lixo,0.0,1.4895630999999412,True
sem lixo (29).JPG,sem lixo,False,sem lixo,0.0,1.4819298000002163,True
sem lixo (3).JPG,sem lixo,False,sem lixo,0.0,1.4432323000000906,True
sem lixo (30).JPG,sem lixo,False,sem lixo,0.0,1.455317300000388,True
sem lixo (31).JPG,sem lixo,False,sem lixo,0.0,1.4582835000001069,True
sem lixo (4).JPG,sem lixo,False,sem lixo,0.0,1.5533589000006032,True
sem lixo (5).JPG,sem lixo,False,sem lixo,0.0,1.476792800000112,True
sem lixo (6).JPG,sem lixo,False,sem lixo,0.0,1.5076634000015474,True
sem lixo (7).JPG,sem lixo,False,sem lixo,0.0,1.4303286000013031,True
sem lixo (8).JPG,sem lixo,False,sem lixo,0.0,1.4142934999999852,True
sem lixo (9).JPG,sem lixo,False,sem lixo,0.0,1.4706910999993852,True
